Start_Date,End_Date,Department,Description,02002TEST_ABC-Moto_CY,C_Class_CY,C_Class_CY_vs_LY,C_Class_%_of_Class,ABC-Moto_CY,ABC-Moto_CY_vs_LY,ABC-Moto_%_of_Nat_Avg
24-Nov,25-Oct,Overall Dealership,Overall Dealership Net Sales,6727090.88,6697907.637,175325.4108,1.004357,11480645.22,-452983.1979,0.585951
24-Nov,25-Oct,Overall Dealership,Overall Dealership Gross Margin %,0.20458,0.218474,-0.008814,0.936404,0.215653,-0.004005,0.948654
24-Nov,25-Oct,Overall Dealership,Total ABC Product Gross Margin % (Excl. Service Labour),0.389268,0.37486,0.002721,1.038436,0.373036,0.004395,1.043513
24-Nov,25-Oct,Overall Dealership,Employee Wages as a % of Overall Dealership Sales,0.086512,0.099866,-0.006292,0.866281,0.08172,0.000242,1.058639
24-Nov,25-Oct,Overall Dealership,General Management & Admin. Wages as a % of Overall Dealership Sales,0.024317,0.030075,-0.000295,0.808545,0.019769,0.000793,1.230057
24-Nov,25-Oct,Overall Dealership,Advertising Dollars Per Unit Sold,346.836185,556.767286,-18.239915,0.622946,504.419804,26.084182,0.687594
24-Nov,25-Oct,Overall Dealership,Advertising as a % of Net Sales,0.013199,0.020234,-0.000685,0.652318,0.019108,0.001202,0.690758
24-Nov,25-Oct,Overall Dealership,Total Operating Expenses as % of Net Sales,0.264316,0.245378,-0.015762,1.077179,0.227037,0.006579,1.164198
24-Nov,25-Oct,Overall Dealership,Net Operating Profit Before Taxes and Non-Operating Income/Expenses (),-82306.14,-27775.725,132209.4408,2.96324,60996.76868,-10616.74335,-1.349352
24-Nov,25-Oct,Overall Dealership,Net Operating Profit as a % of Net Sales (RETURN ON SALES),-0.012235,-0.004147,0.020381,2.950326,0.005313,-0.000688,-2.302842
24-Nov,25-Oct,Overall Dealership,Net Income (Loss) After Taxes (),-105695.49,-56855.215,151157.0458,1.859029,51571.47228,1863.608406,-2.049495
24-Nov,25-Oct,Overall Dealership,Net Income (Loss) After Taxes as % of Sales,-0.015712,-0.008489,0.023402,1.850866,0.004492,0.000327,-3.497774
24-Nov,25-Oct,Overall Dealership,Total Absorption,0.434079,0.600516,0.009615,0.722843,0.69928,0.003952,0.620751
24-Nov,25-Oct,Overall Dealership,CXI Net Promoter Score (NPS),73.3333,92.0986,1.1038,0.796248,89.4285,-0.7039,0.820022
24-Nov,25-Oct,Overall Dealership,New ABC Sales % Contribution within DAT,0.74026,0.679572,0.045747,1.089303,0.636106,-0.004332,1.163737
